Date,Orders,UTR SKU,Basket SKU,%FR,%VFR,%Order Lost,%OL>5',%VL,DT,%Replacement Rate,Not Found Rate,%Item Not delivered,%Inaccuracy,%Close Time,%Seamless Orders,Rating,CVR3,EPT,%OOSFR,Basket ITEM,%Picking Late,%Order Late > 10,%Replacement Sent,total_orders,Picking Time,WOT,%Forced Pre Orders,%Pre Orders,%Partial Orders,Starting Time
5 jul 2026,200,69.875,7.987046557059826,0.0476190476190476,0.0,0.4714285714285714,0.544973544973545,0.26,91.98701923076923,0.3529411764705882,0.0145015105740181,0.0392566220334586,0.06,-,0.0761904761904762,4.363636363636363,0.1374045801526717,35.88442211055276,0.0,9.6016944816204,0.1414141414141414,0.4708994708994709,1.0,210,14.702946127946127,1.0,0.41,0.435,0.0,20.123148148148147
4 jul 2026,186,45.58259968928016,6.915968855490914,0.07,0.005,0.68,0.521505376344086,0.3225806451612903,68.58023255813954,0.6923076923076923,0.0158730158730158,0.0106377032107825,0.043010752688172,-,0.19,4.666666666666667,0.1478537360890302,28.93,0.0,9.066871588378945,0.0698924731182795,0.4408602150537634,1.0,200,12.697759856630825,1.0,0.510752688172043,0.5913978494623656,0.005,8.706362007168458
3 jul 2026,175,36.625766871165645,6.730867841309019,0.0331491712707182,0.0,0.0718232044198895,0.3257142857142857,0.3771428571428571,58.58676470588235,0.4736842105263157,0.0211148648648648,0.0111161077457106,0.0285714285714285,-,0.3646408839779005,4.9,0.1592039800995024,22.955801104972377,0.0,9.056762431468313,0.1461988304093567,0.2342857142857143,1.0,181,11.22066276803119,1.0,0,0.02857142857142857,0.0,7.979922027290449
2 jul 2026,150,38.46788450206246,6.487651945899817,0.0683229813664596,0.0124223602484472,0.4968944099378882,0.4066666666666667,0.4733333333333333,62.970085470085465,0.4705882352941176,0.0287569573283859,0.0330064667265177,0.04,-,0.2360248447204969,4.2,0.1186006825938566,22.59006211180124,0.0062111801242236,8.674831786398157,0.2040816326530612,0.3266666666666666,1.0,161,11.415079365079364,1.0,0.44,0.5266666666666666,0.0062111801242236,12.210430839002267
1 jul 2026,180,46.865990389749065,7.530712568121347,0.0374331550802139,0.0106951871657754,0.11764705882352941,0.3388888888888889,0.4333333333333333,63.23456790123458,0.2702702702702703,0.0394463667820069,0.0398618260051095,0.0333333333333333,-,0.3048128342245989,4.666666666666667,0.0732553099263112,28.3475935828877,0.0053475935828877,9.584571176955633,0.095505617977528,0.25,1.0,187,10.502996254681646,1.0,0.07777777777777778,0.1,0.0053475935828877,17.941573033707865
30 jun 2026,183,20.546875,7.066435185185186,0.0615384615384615,0.0051282051282051,0.26153846153846155,0.3114754098360656,0.3224043715846995,57.21536926147705,0.3076923076923077,0.0483743061062648,0.0442773136920267,0.0491803278688524,0.03270440251572327,0.3948717948717948,5,0.1665124884366327,25.26153846153846,0.0051282051282051,9.465625,0.1038251366120218,0.2185792349726776,0.9285714285714286,195,10.187431693989073,0.965189618566513,0.09289617486338798,0.11475409836065574,0.0153846153846153,5.957103825136612
29 jun 2026,253,25.16572858036272,7.24243145100836,0.0231660231660231,0.0038610038610038,0.023166023166023165,0.2055335968379446,0.3873517786561264,62.08985215053762,0.5151515151515151,0.0241084881968859,0.0297067393225558,0.0513833992094861,0.061635220125786164,0.416988416988417,4.595238095238095,0.173259493670886,32.21621621621622,0.0038610038610038,9.377812196005232,0.0711462450592885,0.1620553359683794,1.0,259,10.327733860342557,0.9215309216264488,0.003952569169960474,0.019762845849802372,0.0077220077220077,11.294927536231889
28 jun 2026,222,13.445346422503304,5.770146868855308,0.0632911392405063,0.0,0.012658227848101266,0.1441441441441441,0.1351351351351351,42.96658986175115,0.3777777777777777,0.0335820895522388,0.03376981970857,0.0135135135135135,-,0.5864978902953587,4.407407407407408,0.1511715797430083,25.59071729957806,0.0,7.21608836697072,0.0495495495495495,0.0855855855855855,0.918918918918919,237,7.977252252252253,1.0,0,0.02252252252252252,0.0042194092827004,2.1524024024024024
27 jun 2026,252,17.66284896206156,6.378714445637718,0.0418250950570342,0.0,0.03802281368821293,0.2063492063492063,0.2539682539682539,53.68900134952767,0.3255813953488372,0.0368550368550368,0.0312427918032734,0.0158730158730158,-,0.4904942965779467,4.833333333333333,0.1886625332152347,29.638783269961976,0.0,7.723207334580735,0.0357142857142857,0.1309523809523809,1.0,263,9.272089947089947,1.0,0.007936507936507936,0.023809523809523808,0.0190114068441064,5.87255291005291
26 jun 2026,216,12.995579734784087,5.430744445340719,0.0136986301369863,0.0,0.045662100456621,0.1944444444444444,0.2175925925925926,45.52496087636932,0.3333333333333333,0.0389197776012708,0.038112742855679,0.0231481481481481,-,0.5707762557077626,3.7777777777777777,0.173741362290227,20.689497716894977,0.0,7.152877264212669,0.0509259259259259,0.125,1.0,219,8.022530864197531,1.0,0,0.013888888888888888,0.0136986301369863,2.0473765432098765
25 jun 2026,216,18.71900826446281,7.26296261487051,0.0526315789473684,0.0,0.04824561403508772,0.2175925925925926,0.3703703703703703,58.7161214953271,0.2727272727272727,0.0258564964447317,0.0293419600894847,0.0555555555555555,-,0.425438596491228,4.3939393939393945,0.1842870999030068,26.58333333333333,0.0,9.057774794128177,0.0509259259259259,0.1666666666666666,1.0,228,8.061033950617283,1.0,0.004629629629629629,0.009259259259259259,0.0131578947368421,12.460185185185187
24 jun 2026,196,18.138091543832427,7.051723467164644,0.0150753768844221,0.0,0.05025125628140704,0.1581632653061224,0.2142857142857142,48.28082901554404,0.25,0.0115107913669064,0.0143236220052291,0.0408163265306122,-,0.6180904522613065,4.972222222222222,0.1779206859592711,23.301507537688444,0.0,9.092938267094276,0.0357142857142857,0.0816326530612244,1.0,199,8.256037414965986,1.0000000000000002,0,0.015306122448979591,0.0100502512562814,2.933843537414966
23 jun 2026,189,18.354716981132075,7.881448412698414,0.050251256281407,0.0100502512562814,0.04522613065326633,0.1746031746031746,0.3386243386243386,47.71193078324226,0.4210526315789473,0.0138121546961325,0.0148721200929372,0.0317460317460317,-,0.5628140703517588,4.666666666666667,0.162134944612286,22.743718592964825,0.0050251256281407,9.85324074074074,0.0529100529100529,0.1269841269841269,1.0,199,8.185273368606703,1.0,0.005291005291005291,0.042328042328042326,0.0050251256281407,3.538624338624339
22 jun 2026,232,20.698040981760865,7.78304734286877,0.0169491525423728,0.0,0.046610169491525424,0.2068965517241379,0.2758620689655172,56.58466666666666,0.1,0.0173010380622837,0.0292863612013919,0.0646551724137931,-,0.4067796610169492,4.5,0.1967370441458733,28.49576271186441,0.0,9.858287182394324,0.0732758620689655,0.1551724137931034,1.0,236,8.262068965517242,1.0,0.004310344827586207,0.03017241379310345,0.0084745762711864,7.555028735632184
21 jun 2026,311,20.10621894808977,6.799947189574387,0.0250783699059561,0.0031347962382445,0.15047021943573669,0.1093247588424437,0.2668810289389067,53.79892655367232,0.4615384615384615,0.0173137460650577,0.0164447465562555,0.0289389067524115,0.025157232704402517,0.5297805642633229,3.694444444444444,0.1918088737201365,36.96865203761755,0.0,8.494959698448858,0.0419354838709677,0.067524115755627,1.0,319,8.50548387096774,0.9879470123372563,0.03536977491961415,0.05144694533762058,0.0156739811912225,5.590268817204301
